t,n_err,e_err,n_std,e_std
192.2,0.27569473006503015,-2.532944540762918,1.0624334139956024,1.4003997635972458
192.3,0.27453324963271203,-2.536364883078049,1.0634798550394116,1.402060620123468
192.4,0.2733687425862708,-2.5397791262131317,1.0645279286559763,1.4037230920103734
192.5,0.2722053200712026,-2.543194359832846,1.0655776329830682,1.405387176966459
192.6,0.2710394993883656,-2.5466037757978346,1.0666289661909882,1.407052872679408
192.7,0.2698712493282539,-2.550010247462631,1.0676819266417894,1.4087201769822713
192.8,0.268712476324249,-2.553422461891148,1.0687365129138435,1.410389087741759
192.89999999999998,0.2675469393657042,-2.556829335540256,1.0697927237972245,1.4120596027646974
193.0,0.2663713266965896,-2.56024554345849,1.0708505582986314,1.4137317199790322
193.1,0.26520127428836804,-2.563661323067169,1.0719100155191332,1.4154054374084846
193.20000000000002,0.26401100023717905,-2.5670889157878665,1.0729710945309052,1.4170807531110912
193.3,0.2628226391884953,-2.5705199010486504,1.0740337942156433,1.4187576652208254
193.39999999999998,0.261635053413324,-2.57395658436724,1.0750981131600639,1.4204361717867124
193.5,0.2604560743741943,-2.577397741965192,1.0761640496928462,1.4221162707016752
193.6,0.2592763746793714,-2.58084422117776,1.0772316019713073,1.4237979598199157
193.70000000000002,0.2580984248463875,-2.5842972649303957,1.0783007680623917,1.4254812369619458
193.8,0.256907879134021,-2.5877492127898014,1.0793715460639546,1.4271660999992994
193.89999999999998,0.25572037776946116,-2.591207204526195,1.0804439342174845,1.4288525469007438
194.0,0.25452606847359005,-2.5946614855538552,1.0815179309391607,1.4305405757085587
194.1,0.2533357837883173,-2.5981186368074907,1.0825935348541884,1.432230184498196
194.20000000000002,0.2521377499209306,-2.601593903258429,1.0836707447053135,1.4339213713689372
194.3,0.25093519209199155,-2.60508611221654,1.0847495591523113,1.4356141344805085
194.4,0.24973342372288407,-2.608587227671938,1.0858299767004906,1.437308472053728
194.5,0.24854355753184926,-2.6121001921095814,1.0869119957188187,1.4390043822733163
194.6,0.24735541921427023,-2.615611201841561,1.087995614449191,1.4407018631827224
194.70000000000002,0.24615000287980074,-2.6191147125899126,1.0890808311259235,1.4424009128331665
194.79999999999998,0.24494813946665356,-2.6226099632498157,1.0901676441304105,1.4441015294334196
194.9,0.24373804241467942,-2.6261060355418233,1.0912560520502974,1.445803711234321
195.0,0.24251844915685156,-2.629611326163305,1.0923460535888871,1.447507456512413
195.1,0.24129550938788982,-2.633114397957194,1.093437647529402,1.4492127636913736
195.20000000000002,0.2400800067073561,-2.636630395781347,1.0945308327414174,1.4509196312541928
195.29999999999998,0.23886755404933374,-2.640155711272022,1.0956256080318,1.4526280575832837
195.4,0.23765216485987276,-2.6436857415628516,1.0967219720838006,1.4543380409571405
195.5,0.2364258190009072,-2.6472146579345304,1.0978199235881179,1.4560495796778876
195.6,0.2351914196674361,-2.650766180196712,1.0989194612613689,1.4577626721978667
195.7,0.23396257137426127,-2.6543182842173776,1.100020583769133,1.4594773170498403
195.79999999999998,0.23273657024181219,-2.657879525958474,1.1011232898620544,1.461193512791904
195.9,0.23151477175641966,-2.661447081225838,1.1022275783701996,1.4629112579685168
196.0,0.23028479992369227,-2.6650054106416734,1.1033334481647168,1.464630551186971
196.10000000000002,0.22907513981694894,-2.6685601116886035,1.104440898293377,1.4663513911467738
196.2,0.2278612522396031,-2.67211959112031,1.1055499279002323,1.4680737764534688
196.29999999999998,0.22664526156715506,-2.675676071253929,1.1066605362149515,1.4697977057505716
196.4,0.225420333623487,-2.679247193790594,1.107772722591982,1.4715231778782072
196.5,0.22419578586976097,-2.682819956156469,1.1088864863989076,1.4732501916946625
196.60000000000002,0.22297271631374566,-2.6864009143164007,1.1100018270558483,1.474978746022598
196.7,0.22175081356954013,-2.6899852981266936,1.1111187440923154,1.476708839719553
196.79999999999998,0.2205272326054671,-2.6935657745627526,1.112237237145696,1.478440471721084
196.9,0.21931013967682117,-2.697151093905983,1.113357305991479,1.4801736409798902
197.0,0.2180818489147118,-2.7007473454371027,1.1144789504432366,1.4819083464305751
197.10000000000002,0.2168470474220164,-2.704347673851447,1.1156021702645835,1.483644587067185
197.2,0.21561161748443108,-2.707954064212387,1.116726965181231,1.4853823619241309
197.3,0.21436272986041252,-2.7115590973580432,1.11785333484017,1.4871216699900933
197.4,0.2131059632521357,-2.7151604568335843,1.1189812788039026,1.4888625102739206
197.5,0.21184274620460453,-2.7187649910635137,1.1201107965765555,1.4906048818519235
