t,nees_ekf,nees_mpf,nees_fgo
134.20000000000002,1.6110730425256405,2.7413270169099335,3.0620359882344568
134.3,1.729711401355429,2.9050851502488735,3.0658016360446876
134.4,1.8212004517842917,3.028178362846421,3.0695888494722237
134.5,1.7614416546453275,2.953926874488528,3.073286734693078
134.6,1.8654573618475414,3.091500271120778,3.0770323695853277
134.70000000000002,1.747018343112876,2.9421409143014468,3.0808290288925604
134.79999999999998,1.7769914700299614,2.9847289610499406,3.084628500978239
134.9,1.676501503504573,2.856232965010339,3.0883687666489736
135.0,1.6757872662286333,2.8589735771601763,3.0921257009457355
135.1,1.6587827675943458,2.840071561419823,3.0958565538809166
135.20000000000002,1.6501069594703222,2.832264569449678,3.0996016936580464
135.29999999999998,1.707267789988305,2.9111275990216257,3.1033754950996375
135.4,1.761063906528474,2.9842314889125143,3.1071731661006803
135.5,1.7258263255682351,2.942218908834086,3.1109956504464265
135.6,1.6722324697128759,2.876442639684493,3.114800037763135
135.7,1.6064060396581006,2.794342406885891,3.118664907396113
135.79999999999998,1.6683080767528282,2.8787489970125666,3.122515412724497
135.9,1.7271424237395103,2.957118647394652,3.126365152810045
136.0,1.7339559848437192,2.9687966044190794,3.130166755129047
136.10000000000002,1.749392596950816,2.990339731386854,3.133955196235223
136.2,1.7335931486396725,2.9752094490786267,3.137742055110957
136.29999999999998,1.741849419775122,2.9862752139255537,3.141483294905325
136.4,1.7439813608286117,2.9906301724507798,3.1452218993308394
136.5,1.7499717943197393,3.0004521396993566,3.148914247467242
136.60000000000002,1.7655824549453762,3.028988580422136,3.152650924722452
136.7,1.7555696946000923,3.0158544988472373,3.15638489708728
136.79999999999998,1.7609332512616533,3.025965696798115,3.1600848360896148
136.9,1.7773534235192443,3.0517478241822014,3.1637320041353627
137.0,1.7749875392631502,3.096843142451965,3.1673880272102166
137.10000000000002,1.7726525804860553,3.095673313890843,3.1709709250817464
137.2,1.7633161974588405,3.08825451850754,3.1746167945136694
137.3,1.7633677147960738,3.0893299600296653,3.1782739830172746
137.4,1.7628479628202904,3.0895944303000897,3.1819840179090777
137.5,1.7615399397803795,3.0881403524837556,3.1856473410415544
137.6,1.76011298704896,3.087512882632695,3.18929611835699
137.7,1.7690225843197367,3.1061306236645994,3.1929556251165323
137.8,1.7773024310140302,3.125414299177303,3.196638086010185
137.9,1.791853417521828,3.157857356622748,3.200294973499457
138.0,1.8165603688359695,3.2121396073203767,3.2039431609212996
138.1,1.784022821462033,3.150550481320492,3.2075906567290224
138.2,1.8144376508049107,3.2105221046436654,3.2112371481288706
138.3,1.8769709790048386,3.3365730915445315,3.2148122015550604
138.4,1.829962758057928,3.2481989565380704,3.2183289285613075
138.5,1.8112123270626126,3.215980882251878,3.2217864069455517
138.6,1.8201977389580173,3.234031548529209,3.225257357831582
138.7,1.83324378568999,3.259095114335281,3.2287004141107465
138.8,1.8602996386776607,3.3089280760892192,3.232126652281595
138.9,1.8180916717339128,3.2371280622492966,3.2355067190169424
