tmin,e_ins,e_ekf_m4,e_fgo_m4,e_ekf_m5,e_fgo_m5
53.76,68.99,47473.83,9.77,10.63,10.61
53.97,67.52,47541.68,10.88,10.88,10.29
54.18,65.89,47620.36,11.91,11.63,9.81
54.39,64.82,47657.89,13.51,12.31,9.15
54.6,63.01,47739.05,15.84,9.67,9.45
54.81,61.8,47796.92,18.2,10.04,9.18
55.02,61.0,47837.35,20.49,10.09,8.38
55.23,60.34,47894.74,23.44,10.03,7.98
55.44,59.0,47943.1,26.69,8.79,8.47
55.65,57.85,47933.21,29.88,9.12,8.75
55.86,56.73,47972.86,33.58,9.08,9.6
56.07,56.08,48013.96,14.41,10.67,6.85
56.28,54.74,48046.16,13.6,9.68,6.46
56.49,53.64,48075.14,13.57,2.78,6.09
56.7,52.56,48096.49,13.26,3.55,5.62
56.91,51.69,48114.49,12.42,4.98,4.65
57.12,50.31,48129.73,11.92,6.29,4.35
57.33,48.99,48149.48,11.42,10.11,4.02
57.54,47.67,48152.01,11.08,8.97,3.74
57.75,46.64,48140.15,10.72,9.77,3.18
57.96,45.24,48132.91,10.08,7.34,3.06
58.17,44.56,48123.85,9.68,12.39,2.44
58.38,42.96,48103.76,8.94,9.19,2.67
58.59,41.94,48120.07,8.67,10.36,2.53
58.8,40.66,48142.88,8.29,1.3,2.52
59.01,39.51,48086.83,7.81,0.31,2.76
59.22,38.28,48044.32,7.52,7.9,2.61
59.43,37.27,48009.93,7.22,3.03,2.68
59.64,35.86,47959.97,7.06,9.0,6.28
59.85,34.95,47904.67,6.92,10.02,7.25
60.06,33.57,47837.59,6.18,8.94,7.61
60.27,32.85,48110.96,6.12,5.64,8.41
60.48,31.86,48293.55,5.55,5.22,8.67
60.69,30.98,48194.37,5.45,4.87,9.47
60.9,29.92,48112.66,5.59,5.63,10.33
61.11,29.38,48047.97,5.77,6.4,11.03
61.32,28.44,47965.92,6.38,6.19,11.82
61.53,27.81,47863.76,7.05,6.92,12.57
61.74,27.16,47805.08,7.84,7.32,13.23
61.95,26.33,47726.16,9.57,8.42,14.25
62.16,26.03,47622.11,10.36,9.8,14.92
62.37,25.22,47524.97,12.1,9.47,15.6
62.58,24.48,47410.08,13.76,11.09,16.14
62.79,24.5,47296.18,15.68,13.29,17.47
63.0,24.04,47175.63,17.34,14.21,18.03
